cultivar,source,state,county,sample_id,sample_date,sample_year,total_cbd,total_thc,total_cbg,cbd_thc_ratio
ABBIE, Sulcanna,Illinois, Warren,643, Sep 28,2020,3.74,0.18,0.22,20.32
ABBIE, Sulcanna,Illinois, Jo Daviess,601, Sep 22,2020,3.41,0.17,0.31,20.54
ABBIE, Sulcanna,Illinois, Champaign,576, Sep 23,2020,2.1,0.11,0.18,18.79
Abacus, Alterra,Wisconsin, Fond du Lac,218, Aug 11,2020,4.91,0.22,0.34,22.48
Abacus, Grow Big Hydroponics,Wisconsin, Fond du Lac,157, Oct 13,2020,12.59,0.48,0.15,26.03
Abacus, Grow Big Hydroponics,Wisconsin, Fond du Lac,251, Aug 20,2020,4.73,0.2,0.31,23.4
Abacus, Wiscanna,Wisconsin, Door,128, Oct 20,2020,11.13,0.39,0.11,28.3
Abacus, Grow Big Hydroponics,Wisconsin, Fond du Lac,387, Sep 9,2020,10.08,0.44,0.51,22.76
Abacus, Wiscanna,Wisconsin, Marathon,295, Aug 27,2020,4.72,0.21,0.21,22.44
Abacus, Wiscanna,Wisconsin, Door,385, Sep 7,2020,8.47,0.33,0.38,25.91
Abacus, Wiscanna,Wisconsin, Door,707, Oct 4,2020,13.11,0.44,0.23,29.82
Abacus, Wiscanna,Wisconsin, Door,225, Aug 17,2020,5.12,0.23,0.27,22.28
Afternoon Delight, High Alpine Genetics,Indiana, Delaware,478, Sep 14,2020,5.45,0.25,0.12,21.62
Afternoon Delight, High Alpine Genetics,Indiana, Delaware,399, Sep 8,2020,5.63,0.28,0.22,20.12
Afternoon Delight, High Alpine Genetics,Indiana, Delaware,272, Aug 24,2020,2.21,0.13,0.07,16.66
Altitude, High Altitude Hemp Company,Wisconsin, Walworth,444, Sep 14,2020,2.13,0.11,0.11,19.23
Altitude, High Altitude Hemp Company,Wisconsin, Walworth,64, Oct 5,2020,3.78,0.17,0.27,22.13
Angie, Front Range Biosciences,Wisconsin, Columbia,51, Sep 28,2020,5.59,0.22,0.1,25.03
Angie, Front Range Biosciences,Wisconsin, Walworth,605, Sep 24,2020,7.37,0.3,0.27,24.62
Angie, Front Range Biosciences,Wisconsin, Walworth,419, Sep 11,2020,6.57,0.27,0.1,23.92
Angie, Front Range Biosciences,Wisconsin, Walworth,89, Oct 7,2020,7.61,0.28,0.26,26.72
Angie, Front Range Biosciences,Wisconsin, Columbia,343, Sep 1,2020,4.22,0.18,0.23,23.47
Angie, Front Range Biosciences,Wisconsin, Columbia,468, Sep 14,2020,4.85,0.2,0.14,23.86
Anna Lee, Front Range Biosciences,Wisconsin, Walworth,610, Sep 24,2020,3.8,0.16,0.45,23.79
Anna Lee, Front Range Biosciences,Wisconsin, Walworth,133, Oct 22,2020,7.04,0.09,0.34,82.71
Anna Lee, Front Range Biosciences,Wisconsin, Columbia,431, Sep 11,2020,0,0.19,3.89,0
Anna Lee, Front Range Biosciences,Wisconsin, Walworth,722, Oct 7,2020,6.15,0.21,0.4,29.07
Anna Lee, Front Range Biosciences,Wisconsin, Columbia,73, Oct 5,2020,8.15,0.26,0.43,30.97
Anna Lee, Front Range Biosciences,Wisconsin, Columbia,561, Sep 21,2020,3.87,0.16,0.41,24
Apollo, Sulcanna,Illinois, Lee,60, Sep 29,2020,2.93,0.1,0.11,29.19
Apollo, Sulcanna,Illinois, Lee,487, Sep 15,2020,0,0.07,4.24,0
Apollo, FBHS LLC,Wisconsin, Lafayette,634, Sep 28,2020,3.39,0.15,0.15,22.19
Apollo, Sulcanna,Illinois, Lee,488, Sep 15,2020,2.83,0.14,0.13,20.45
Apollo, Sulcanna,Illinois, Lee,329, Sep 1,2020,1.46,0.1,0.09,13.91
Apollo, Sulcanna,Wisconsin, Lafayette,490, Sep 14,2020,4.41,0.16,0.13,27.97
Auto Tune, Beacon Hemp,Wisconsin, Columbia,28, Sep 21,2020,4.4,0.2,0.27,21.68
Auto Tune, Beacon Hemp,Wisconsin, Columbia,263, Aug 24,2020,5.52,0.25,0.52,22.29
Auto Tune, Beacon Hemp,Wisconsin, Columbia,424, Sep 11,2020,0,0.06,2.65,0
Auto Tune, Beacon Hemp,Wisconsin, Walworth,288, Aug 27,2020,4.39,0.19,0.34,23.49
Auto Tune, Beacon Hemp,Wisconsin, Walworth,8, Sep 11,2020,4.88,0.25,0.26,19.41
AutoCBD, Phylos,Illinois, Warren,1, Aug 4,2020,3.83,1.16,0.21,3.31
BaOx Hybrid, Infinite Tree,Wisconsin, Columbia,56, Sep 28,2020,6.98,0.28,0.39,24.86
